,,,,,,
order_id,product_id,seller_id,price,freight_value,,
00010242fe8c5a6d1ba2dd792cb16214,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,58.9,13.29,,
130898c0987d1801452a8ed92a670612,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,55.9,17.96,,
532ed5e14e24ae1f0d735b91524b98b9,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,64.9,18.33,,
6f8c31653edb8c83e1a739408b5ff750,4244733e06e7ecb4970a6e2683c13e61,48436dade18ac8b2bce089ec2a041202,58.9,16.17,,
,,,,,,
,,,,,,
order_id,payment_type,payment_installments,payment_value,customer_id,,
00010242fe8c5a6d1ba2dd792cb16214,credit_card,2,72.19,3ce436f183e68e07877b285a838db11a,,
130898c0987d1801452a8ed92a670612,boleto,1,73.86,e6eecc5a77de221464d1c4eaff0a9b64,,
532ed5e14e24ae1f0d735b91524b98b9,credit_card,2,83.23,4ef55bf80f711b372afebcb7c715344a,,
6f8c31653edb8c83e1a739408b5ff750,credit_card,3,75.07,30407a72ad8b3f4df4d15369126b20c9,,
,,,,,,
,,,,,,
order_id,Date,review_id,review_score,product_category_name,order_status,
00010242fe8c5a6d1ba2dd792cb16214,2017-09-13 8:59,97ca439bc427b48bc1cd7177abe71365,5,cool_stuff,delivered,
130898c0987d1801452a8ed92a670612,2017-06-28 11:52,b11cba360bbe71410c291b764753d37f,5,cool_stuff,delivered,
532ed5e14e24ae1f0d735b91524b98b9,2018-05-18 10:25,af01c4017c5ab46df6cc810e069e654a,4,cool_stuff,delivered,
6f8c31653edb8c83e1a739408b5ff750,2017-08-01 18:38,8304ff37d8b16b57086fa283fe0c44f8,5,cool_stuff,delivered,
,,,,,,
,,,,,,
,,,,,,
product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm,
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,225,16,10,14,
3aa071139cb16b67ca9e5dea641aaa2f,artes,1000,30,18,20,
96bd76ec8810374ed1b65e291975717f,esporte_lazer,154,18,9,15,
cef67bcfe19066a932b7673e239eb23d,bebes,371,26,4,26,
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,625,20,17,13,
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,200,38,5,11,
,,,,,,
,,,,,,
geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,,
1037,-23.54562128,-46.63929205,sao paulo,SP,,
1046,-23.54608113,-46.6448203,sao paulo,SP,,
1046,-23.54612897,-46.64295148,sao paulo,SP,,
1041,-23.54439216,-46.63949931,sao paulo,SP,,
1035,-23.54157796,-46.64160722,sao paulo,SP,,
,,,,,,
